query,title,url,snippet
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,P&G 2023 Annual Report,https://s1.q4cdn.com/695946674/files/doc_financials/2023/ar/2023_annual_report.pdf,"Aug 4, 2023 ... Brand names referenced in this Annual Report are trademarks of The Procter & Gamble Company or one of its subsidiaries. All other brand ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Procter & Gamble Company - Climate Change 2022,https://s1.q4cdn.com/695946674/files/doc_downloads/2022/12/Climate-Change-2022_ProcterGamble.pdf,This committee consists of a Committee Chair and 4 members. The Committee regularly receives updates on overall progress of our sustainability program and goals ...
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2022 Proxy Statement,https://s1.q4cdn.com/695946674/files/doc_financials/2022/ar/2022-Procter_Gamble-Bookmarked-Proxy-Statement.pdf,"Aug 26, 2022 ... The Company's principal executive offices are located at 1 Procter & Gamble Plaza, Cincinnati, Ohio 45202. These proxy materials are first being ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2023 Proxy Statement,https://s1.q4cdn.com/695946674/files/doc_financials/2023/ar/2023-Bookmarked-Proxy.pdf,"Aug 25, 2023 ... Shareholders request that, beginning in 2024, The Procter & Gamble Company report annually to shareholders on the nature and extent to which ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,GRI Content Index as of February 2022,https://s1.q4cdn.com/695946674/files/doc_downloads/2022/02/2021_GRI_Index.pdf,The Procter & Gamble Company. 102-2. Activities ... The Chief Sustainability Officer reviews and approves sustainability report. ... and the Company across ...
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,ESG 2023,https://s1.q4cdn.com/695946674/files/doc_downloads/esg/2023/ESG-Investor-Roadshow-Meetings-Final-Web.pdf,"Jul 18, 2023 ... • P&G demand creation, innovate with ... • Rigorous Director selection process targeted to Company priorities ... environmental sustainability, ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Annual Report,https://s1.q4cdn.com/695946674/files/doc_financials/2022/ar/2022_annual_report.pdf,"Aug 5, 2022 ... Brand names referenced in this Annual Report are trademarks of The Procter & Gamble Company or one of its subsidiaries. ... 2023 (Incorporated by ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2020 Annual Report,https://s1.q4cdn.com/695946674/files/doc_financials/2020/ar/PG-2020-Annual-Report.pdf,"Aug 6, 2020 ... 1 on Form 10-K/A amends The Procter & Gamble Company's Annual Report on Form 10-K for the year ended June 30, 2020, which the Company previously."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2022 CITIZENSHIP REPORT,https://s1.q4cdn.com/695946674/files/doc_downloads/2022/12/2022_Citizenship_Report-Final.pdf,"Dec 13, 2022 ... Our citizenship efforts reflect the contributions of employees across the. Company. Our programs help ensure. P&G people are inspired, feel ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Building a Sustainable Future Together,https://s1.q4cdn.com/695946674/files/doc_downloads/esg/PG-ESG-FOREST-POSITIVE-PALM-SOURCING-POLICY.pdf,"... annual. P&G Citizenship Report. ... 2023, has been issued by P&G's Chief Sustainability Officer and reviewed by P&G's ESG Executive Council and Company leadership ..."
